STUDY_ID	SAMPLE_ID	MYC	BASP1
ccle_broad_2019	SNGM_ENDOMETRIUM	86.16302	0.1334
ccle_broad_2019	OUMS27_BONE	NA	NA
ccle_broad_2019	PL45_PANCREAS	NA	NA
ccle_broad_2019	NCIH2347_LUNG	44.62122	117.70422
ccle_broad_2019	SW1990_PANCREAS	23.22083	0.14858
ccle_broad_2019	HS940T_FIBROBLAST	12.58363	43.79691
ccle_broad_2019	HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	39.18401	74.1677
ccle_broad_2019	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	66.06097	29.59171
ccle_broad_2019	RERFGC1B_STOMACH	17.91905	38.88494
ccle_broad_2019	HT1080_SOFT_TISSUE	18.03304	68.87527
ccle_broad_2019	NCIH2087_LUNG	122.14185	9.52773
ccle_broad_2019	COV318_OVARY	16.90523	17.8607
ccle_broad_2019	NCIH2085_LUNG	38.70294	10.61375
ccle_broad_2019	NCIH510_LUNG	6.64253	6.8815
ccle_broad_2019	CAKI1_KIDNEY	50.68695	125.62508
ccle_broad_2019	NCIH716_LARGE_INTESTINE	56.77217	0.19812
ccle_broad_2019	NCIH2066_LUNG	49.62996	13.82172
ccle_broad_2019	NCIH1341_LUNG	187.11673	144.10715
ccle_broad_2019	NCIH2029_LUNG	0.39255	0.17821
ccle_broad_2019	C3A_LIVER	NA	NA
ccle_broad_2019	SW480_LARGE_INTESTINE	40.87094	0.37586
ccle_broad_2019	HS746T_STOMACH	44.20843	44.52715
ccle_broad_2019	LU65_LUNG	69.38163	0.11348
ccle_broad_2019	HS739T_FIBROBLAST	14.70866	64.25997
ccle_broad_2019	SNUC2A_LARGE_INTESTINE	16.65089	0.17062
ccle_broad_2019	HEC151_ENDOMETRIUM	65.81883	0.2154
ccle_broad_2019	MSTO211H_PLEURA	272.11462	128.94588
ccle_broad_2019	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	155.4706	62.62091
ccle_broad_2019	SKMEL1_SKIN	44.17145	0.30071
ccle_broad_2019	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	125.30856	0.17251
ccle_broad_2019	JHH7_LIVER	35.74697	1.08157
ccle_broad_2019	HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	29.98264	72.13282
ccle_broad_2019	5637_URINARY_TRACT	59.50313	56.47713
ccle_broad_2019	HCC38_BREAST	18.57151	15.65722
ccle_broad_2019	DU4475_BREAST	14.61214	0.14521
ccle_broad_2019	NCIH1573_LUNG	23.42829	6.47801
ccle_broad_2019	NCIH508_LARGE_INTESTINE	79.39982	0.14027
ccle_broad_2019	NCIH1651_LUNG	19.15224	288.64456
ccle_broad_2019	SKUT1_SOFT_TISSUE	75.78384	16.33437
ccle_broad_2019	MDAMB175VII_BREAST	5.76827	0.41464
ccle_broad_2019	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	58.13925	0.26739
ccle_broad_2019	BECKER_CENTRAL_NERVOUS_SYSTEM	NA	NA
ccle_broad_2019	NCIH226_LUNG	40.47585	98.75042
ccle_broad_2019	NCIH1666_LUNG	134.87201	142.91872
ccle_broad_2019	SW1783_CENTRAL_NERVOUS_SYSTEM	12.99568	47.12416
ccle_broad_2019	ISTMES1_PLEURA	102.14205	193.12215
ccle_broad_2019	NCIH1734_LUNG	22.72501	50.54288
ccle_broad_2019	NCIH2342_LUNG	23.88862	60.78564
ccle_broad_2019	EBC1_LUNG	39.13903	0.0999
ccle_broad_2019	YMB1_BREAST	NA	NA
ccle_broad_2019	OC316_OVARY	48.04178	10.45289
ccle_broad_2019	HS936T_SKIN	30.21034	0.4509
ccle_broad_2019	T173_FIBROBLAST	12.29491	61.83976
ccle_broad_2019	NCIH322_LUNG	20.68178	42.72985
ccle_broad_2019	HS618T_FIBROBLAST	16.71542	121.93409
ccle_broad_2019	HS870T_FIBROBLAST	13.2174	120.62849
ccle_broad_2019	HS706T_BONE	9.9748	0.12675
ccle_broad_2019	PANC1_PANCREAS	23.35134	133.97932
ccle_broad_2019	NCIH2291_LUNG	67.31649	13.32233
ccle_broad_2019	T47D_BREAST	20.55275	0.12624
ccle_broad_2019	HS742T_FIBROBLAST	10.79743	78.54405
ccle_broad_2019	BICR56_UPPER_AERODIGESTIVE_TRACT	108.25985	38.02348
ccle_broad_2019	BICR16_UPPER_AERODIGESTIVE_TRACT	69.87193	69.66519
ccle_broad_2019	TE10_OESOPHAGUS	33.81445	90.27262
ccle_broad_2019	SKMEL28_SKIN	44.51015	0.59866
ccle_broad_2019	BICR6_UPPER_AERODIGESTIVE_TRACT	65.47429	3.87103
ccle_broad_2019	BHY_UPPER_AERODIGESTIVE_TRACT	62.80667	59.67216
ccle_broad_2019	AZ521_SMALL_INTESTINE	NA	NA
ccle_broad_2019	SH4_SKIN	47.95118	0.09166
ccle_broad_2019	KPL1_BREAST	27.86308	76.61641
ccle_broad_2019	CGTHW1_THYROID	NA	NA
ccle_broad_2019	TUHR4TKB_KIDNEY	32.25852	2.65428
ccle_broad_2019	LS123_LARGE_INTESTINE	50.495	0.19284
ccle_broad_2019	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	235.34431	0.07032
ccle_broad_2019	HPAC_PANCREAS	50.25583	0.15022
ccle_broad_2019	RCC10RGB_KIDNEY	30.71742	43.8462
ccle_broad_2019	JHOM1_OVARY	39.22828	172.22884
ccle_broad_2019	SU8686_PANCREAS	16.61005	24.43386
ccle_broad_2019	HCC33_LUNG	0.538	0.28911
ccle_broad_2019	TE6_OESOPHAGUS	59.23865	49.55415
ccle_broad_2019	JHOC5_OVARY	72.15043	36.11867
ccle_broad_2019	ACCMESO1_PLEURA	25.85494	216.58546
ccle_broad_2019	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	55.69061	21.05372
ccle_broad_2019	SNU1214_UPPER_AERODIGESTIVE_TRACT	79.3687	44.60147
ccle_broad_2019	CORL105_LUNG	63.95478	0.11196
ccle_broad_2019	LMSU_STOMACH	54.65484	115.19425
ccle_broad_2019	SNU1197_LARGE_INTESTINE	33.17286	0.39293
ccle_broad_2019	COLO668_LUNG	2.18065	0.09905
ccle_broad_2019	OSRC2_KIDNEY	16.99916	18.47365
ccle_broad_2019	HUH6_LIVER	39.03031	27.48754
ccle_broad_2019	PANC0203_PANCREAS	26.87641	0.17483
ccle_broad_2019	CJM_SKIN	100.74187	119.48838
ccle_broad_2019	BICR22_UPPER_AERODIGESTIVE_TRACT	89.40177	14.80325
ccle_broad_2019	SHSY5Y_AUTONOMIC_GANGLIA	NA	NA
ccle_broad_2019	TM31_CENTRAL_NERVOUS_SYSTEM	52.0584	31.86128
ccle_broad_2019	SNU1272_KIDNEY	56.12756	39.96796
ccle_broad_2019	KPNRTBM1_AUTONOMIC_GANGLIA	0.56459	164.86279
ccle_broad_2019	BICR18_UPPER_AERODIGESTIVE_TRACT	50.88335	7.56209
ccle_broad_2019	TE4_OESOPHAGUS	36.59003	107.25289
ccle_broad_2019	PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA
ccle_broad_2019	ECC10_STOMACH	114.19682	0.10874
ccle_broad_2019	TUHR14TKB_KIDNEY	40.65527	7.2751
ccle_broad_2019	YD15_SALIVARY_GLAND	34.96483	115.79145
ccle_broad_2019	UBLC1_URINARY_TRACT	5.74468	2.23769
ccle_broad_2019	ECGI10_OESOPHAGUS	76.28022	73.66554
ccle_broad_2019	CW2_LARGE_INTESTINE	199.3042	0.58329
ccle_broad_2019	SNU761_LIVER	32.19561	0.69095
ccle_broad_2019	SNU61_LARGE_INTESTINE	59.33216	0.18796
ccle_broad_2019	NCIH1915_LUNG	42.14449	17.15939
ccle_broad_2019	SNU324_PANCREAS	51.13408	5.14141
ccle_broad_2019	YD10B_UPPER_AERODIGESTIVE_TRACT	34.43723	48.16504
ccle_broad_2019	HCC2279_LUNG	67.94716	360.5694
ccle_broad_2019	HLC1_LUNG	NA	NA
ccle_broad_2019	TUHR10TKB_KIDNEY	40.77101	0.16291
ccle_broad_2019	HEC1B_ENDOMETRIUM	46.59566	0.48911
ccle_broad_2019	VMRCLCP_LUNG	NA	NA
ccle_broad_2019	TGBC11TKB_STOMACH	81.65726	0.41226
ccle_broad_2019	OVK18_OVARY	39.1901	0.44656
ccle_broad_2019	SNU1077_ENDOMETRIUM	83.7087	56.05903
ccle_broad_2019	HCC1588_LUNG	81.62183	0.15106
ccle_broad_2019	SNU213_PANCREAS	58.81862	39.38895
ccle_broad_2019	HT115_LARGE_INTESTINE	111.67357	0.22068
ccle_broad_2019	TE14_OESOPHAGUS	89.9066	15.52651
ccle_broad_2019	TE8_OESOPHAGUS	52.44319	133.57361
ccle_broad_2019	SNU520_STOMACH	67.14941	0.17188
ccle_broad_2019	JHUEM3_ENDOMETRIUM	24.38424	1.13872
ccle_broad_2019	LI7_LIVER	18.99513	0.12771
ccle_broad_2019	NCIH838_LUNG	5.06738	102.3392
ccle_broad_2019	SNU119_OVARY	14.5342	52.59221
ccle_broad_2019	SNU1033_LARGE_INTESTINE	67.06683	1.2698
ccle_broad_2019	SNUC5_LARGE_INTESTINE	32.34411	0.43235
ccle_broad_2019	GSS_STOMACH	93.08532	1.73354
ccle_broad_2019	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	38.42466	0.24633
ccle_broad_2019	HCC1171_LUNG	38.11992	109.4229
ccle_broad_2019	SNUC4_LARGE_INTESTINE	102.61246	0.2245
ccle_broad_2019	U138MG_CENTRAL_NERVOUS_SYSTEM	NA	NA
ccle_broad_2019	SNU620_STOMACH	71.15127	0.13885
ccle_broad_2019	ECC12_STOMACH	51.03625	208.58427
ccle_broad_2019	GSU_STOMACH	105.92934	0.06217
ccle_broad_2019	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	168.60666	5.6994
ccle_broad_2019	JHOM2B_OVARY	73.21707	0.14726
ccle_broad_2019	MDAMB231_BREAST	32.60276	56.15113
ccle_broad_2019	OV90_OVARY	35.98171	0.16169
ccle_broad_2019	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	65.74537	11.85871
ccle_broad_2019	OVTOKO_OVARY	24.12733	37.5336
ccle_broad_2019	OVCAR4_OVARY	29.16354	24.66621
ccle_broad_2019	HLF_LIVER	30.41918	156.49181
ccle_broad_2019	HCT15_LARGE_INTESTINE	55.59634	0.23672
ccle_broad_2019	SW1463_LARGE_INTESTINE	101.21556	1.05282
ccle_broad_2019	SF295_CENTRAL_NERVOUS_SYSTEM	11.74116	99.85123
ccle_broad_2019	WM115_SKIN	9.72009	1.60812
ccle_broad_2019	JHH4_LIVER	35.05072	0.17948
ccle_broad_2019	OE33_OESOPHAGUS	88.51232	0.11662
ccle_broad_2019	CCK81_LARGE_INTESTINE	96.7908	0.04572
ccle_broad_2019	JHH1_LIVER	46.2622	10.56886
ccle_broad_2019	SJSA1_BONE	4.26402	192.49605
ccle_broad_2019	NCIH2228_LUNG	56.64965	96.34524
ccle_broad_2019	RERFLCAI_LUNG	57.79745	73.43014
ccle_broad_2019	SKMES1_LUNG	33.17887	71.31127
ccle_broad_2019	NCIH520_LUNG	59.90078	0.89138
ccle_broad_2019	JHH5_LIVER	73.8939	0.12518
ccle_broad_2019	FU97_STOMACH	21.59158	0.05328
ccle_broad_2019	COLO800_SKIN	17.36854	0.30847
ccle_broad_2019	NCIH1963_LUNG	0.72009	74.73262
ccle_broad_2019	RL952_ENDOMETRIUM	39.2711	24.3112
ccle_broad_2019	J82_URINARY_TRACT	24.09912	127.81609
ccle_broad_2019	HCC15_LUNG	22.82065	140.03853
ccle_broad_2019	M059K_CENTRAL_NERVOUS_SYSTEM	5.93888	39.43695
ccle_broad_2019	CALU6_LUNG	2.29937	0.14463
ccle_broad_2019	SKLU1_LUNG	36.54129	30.06009
ccle_broad_2019	SW900_LUNG	16.98969	105.49323
ccle_broad_2019	UACC62_SKIN	30.63252	0.21479
ccle_broad_2019	MFE280_ENDOMETRIUM	34.06676	48.67832
ccle_broad_2019	MFE319_ENDOMETRIUM	50.53701	64.74822
ccle_broad_2019	MFE296_ENDOMETRIUM	9.34318	2.49803
ccle_broad_2019	GOS3_CENTRAL_NERVOUS_SYSTEM	9.47038	15.21493
ccle_broad_2019	GI1_CENTRAL_NERVOUS_SYSTEM	25.01077	58.08397
ccle_broad_2019	PC14_LUNG	27.30576	0.1778
ccle_broad_2019	KYSE410_OESOPHAGUS	32.21725	22.55015
ccle_broad_2019	A204_SOFT_TISSUE	30.46235	0.44473
ccle_broad_2019	PATU8902_PANCREAS	56.13537	0.06809
ccle_broad_2019	NCIH810_LUNG	137.31772	0.15638
ccle_broad_2019	RERFLCMS_LUNG	23.44427	117.89592
ccle_broad_2019	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	34.92694	414.09348
ccle_broad_2019	DANG_PANCREAS	79.56642	20.77872
ccle_broad_2019	NCIH460_LUNG	66.12645	106.98631
ccle_broad_2019	KYSE140_OESOPHAGUS	29.63898	49.04491
ccle_broad_2019	KYSE180_OESOPHAGUS	71.56184	50.98296
ccle_broad_2019	HUPT3_PANCREAS	87.26051	13.1003
ccle_broad_2019	EFE184_ENDOMETRIUM	164.54181	22.80184
ccle_broad_2019	GCIY_STOMACH	150.37538	5.05413
ccle_broad_2019	SH10TC_STOMACH	25.59746	137.31125
ccle_broad_2019	CAOV4_OVARY	48.21475	12.78948
ccle_broad_2019	HCC2218_BREAST	58.99074	1.43673
ccle_broad_2019	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	213.2459	0.24433
ccle_broad_2019	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	231.03601	0.62001
ccle_broad_2019	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	52.52817	4.61131
ccle_broad_2019	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	158.48581	0.18303
ccle_broad_2019	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	349.60599	0.13179
ccle_broad_2019	KNS60_CENTRAL_NERVOUS_SYSTEM	25.18307	150.30382
ccle_broad_2019	KNS81_CENTRAL_NERVOUS_SYSTEM	20.96173	9.04638
ccle_broad_2019	KPNSI9S_AUTONOMIC_GANGLIA	2.95463	113.55584
ccle_broad_2019	LU99_LUNG	113.06894	101.18995
ccle_broad_2019	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	315.42273	10.53793
ccle_broad_2019	MKN1_STOMACH	6.0745	0.34263
ccle_broad_2019	MKN74_STOMACH	54.05359	0.13491
ccle_broad_2019	KP3_PANCREAS	43.86376	4.27484
ccle_broad_2019	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	426.18402	2.89298
ccle_broad_2019	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	401.06473	0.16227
ccle_broad_2019	HSC2_UPPER_AERODIGESTIVE_TRACT	37.51171	47.26351
ccle_broad_2019	KG1C_CENTRAL_NERVOUS_SYSTEM	18.01587	98.75187
ccle_broad_2019	HUH7_LIVER	31.69802	0.26532
ccle_broad_2019	KMBC2_URINARY_TRACT	21.57059	30.66419
ccle_broad_2019	KMRC20_KIDNEY	21.44627	0.22438
ccle_broad_2019	HUCCT1_BILIARY_TRACT	87.81055	0.26166
ccle_broad_2019	KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	51.02135	152.95193
ccle_broad_2019	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	134.92076	0.17821
ccle_broad_2019	KALS1_CENTRAL_NERVOUS_SYSTEM	9.04543	63.94587
ccle_broad_2019	HEC108_ENDOMETRIUM	42.73221	0.25294
ccle_broad_2019	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	256.44626	0.07296
ccle_broad_2019	HUH28_BILIARY_TRACT	32.08824	133.02267
ccle_broad_2019	CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA
ccle_broad_2019	HEC265_ENDOMETRIUM	42.06071	0.21931
ccle_broad_2019	CAL12T_LUNG	60.48051	18.40953
ccle_broad_2019	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	87.62429	54.35489
ccle_broad_2019	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	249.6855	0.17875
ccle_broad_2019	SKNSH_AUTONOMIC_GANGLIA	12.69234	41.49907
ccle_broad_2019	HCC1954_BREAST	39.9446	0.5838
ccle_broad_2019	CAMA1_BREAST	38.71511	68.75301
ccle_broad_2019	HEC6_ENDOMETRIUM	62.77749	79.82381
ccle_broad_2019	AM38_CENTRAL_NERVOUS_SYSTEM	95.19768	238.58679
ccle_broad_2019	HEC50B_ENDOMETRIUM	121.25419	53.08293
ccle_broad_2019	HSC3_UPPER_AERODIGESTIVE_TRACT	76.92923	77.486
ccle_broad_2019	HSC4_UPPER_AERODIGESTIVE_TRACT	28.44674	36.86688
ccle_broad_2019	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	220.62166	17.66796
ccle_broad_2019	KP4_PANCREAS	46.97233	15.01359
ccle_broad_2019	KE39_STOMACH	65.74798	0.08099
ccle_broad_2019	COV504_OVARY	35.59254	15.0476
ccle_broad_2019	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	84.70146	48.55738
ccle_broad_2019	VMRCRCW_KIDNEY	85.63203	35.93591
ccle_broad_2019	HGC27_STOMACH	92.06855	0.07481
ccle_broad_2019	LUDLU1_LUNG	65.63525	101.89617
ccle_broad_2019	HUG1N_STOMACH	40.36662	0.21067
ccle_broad_2019	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.36993	0.55606
ccle_broad_2019	NUGC4_STOMACH	62.01268	0.03646
ccle_broad_2019	BGC823_STOMACH	NA	NA
ccle_broad_2019	HMC18_BREAST	185.13063	0.10674
ccle_broad_2019	CAS1_CENTRAL_NERVOUS_SYSTEM	15.87766	37.58013
ccle_broad_2019	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	322.2709	0.25612
ccle_broad_2019	CORL23_LUNG	540.87891	0.96557
ccle_broad_2019	MORCPR_LUNG	69.94482	5.30885
ccle_broad_2019	HARA_LUNG	27.19833	19.38648
ccle_broad_2019	SKOV3_OVARY	21.63819	91.53127
ccle_broad_2019	HPAFII_PANCREAS	87.7627	0.12544
ccle_broad_2019	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	181.11365	138.60014
ccle_broad_2019	NCIH1568_LUNG	52.70988	223.58012
ccle_broad_2019	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	142.15082	17.19134
ccle_broad_2019	A498_KIDNEY	32.93361	15.14581
ccle_broad_2019	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	83.49975	0.11727
ccle_broad_2019	A673_BONE	52.94291	152.4301
ccle_broad_2019	AU565_BREAST	51.95919	0.1504
ccle_broad_2019	COLO201_LARGE_INTESTINE	11.34591	0.12663
ccle_broad_2019	CAPAN1_PANCREAS	90.64351	0.21852
ccle_broad_2019	NCIH1563_LUNG	20.6664	325.60617
ccle_broad_2019	NCIH358_LUNG	10.54361	103.52788
ccle_broad_2019	CFPAC1_PANCREAS	53.49181	1.29374
ccle_broad_2019	NIHOVCAR3_OVARY	13.74589	10.51681
ccle_broad_2019	NCIH1650_LUNG	14.94838	96.52158
ccle_broad_2019	NCIH1793_LUNG	51.98039	29.10404
ccle_broad_2019	NCIH1437_LUNG	50.66369	9.55075
ccle_broad_2019	KNS62_LUNG	54.70225	47.28762
ccle_broad_2019	HS578T_BREAST	30.11279	59.38836
ccle_broad_2019	BT20_BREAST	23.23994	0.14315
ccle_broad_2019	SNU182_LIVER	23.81478	79.73634
ccle_broad_2019	SKNMC_BONE	124.04319	153.60295
ccle_broad_2019	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	140.01495	0.48869
ccle_broad_2019	FADU_UPPER_AERODIGESTIVE_TRACT	56.01384	80.26698
ccle_broad_2019	SJRH30_SOFT_TISSUE	NA	NA
ccle_broad_2019	MDAMB361_BREAST	10.60952	26.66842
ccle_broad_2019	MDAMB436_BREAST	52.89743	147.13495
ccle_broad_2019	PANC0213_PANCREAS	38.5791	7.77851
ccle_broad_2019	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	219.3233	21.97923
ccle_broad_2019	RDES_BONE	71.28927	136.74985
ccle_broad_2019	CAL27_UPPER_AERODIGESTIVE_TRACT	64.73767	27.30644
ccle_broad_2019	MESSA_SOFT_TISSUE	69.47271	0.20296
ccle_broad_2019	SW1271_LUNG	37.5892	107.72183
ccle_broad_2019	NCIH1792_LUNG	164.79492	53.86972
ccle_broad_2019	GCT_SOFT_TISSUE	12.73891	90.73357
ccle_broad_2019	SKBR3_BREAST	52.87761	24.19989
ccle_broad_2019	SNU16_STOMACH	268.31168	0.05893
ccle_broad_2019	NCIH82_LUNG	415.69406	26.14482
ccle_broad_2019	NCIN87_STOMACH	87.88538	0.10871
ccle_broad_2019	U2OS_BONE	13.2631	0.18315
ccle_broad_2019	H4_CENTRAL_NERVOUS_SYSTEM	9.08572	95.8564
ccle_broad_2019	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	57.52925	0.63905
ccle_broad_2019	HCC1143_BREAST	90.05789	114.14115
ccle_broad_2019	T24_URINARY_TRACT	26.62798	93.65088
ccle_broad_2019	G401_SOFT_TISSUE	27.74091	0.10918
ccle_broad_2019	HCC1937_BREAST	26.25689	10.9936
ccle_broad_2019	HCC1569_BREAST	64.61073	0.53551
ccle_broad_2019	OCUM1_STOMACH	95.3109	0.13853
ccle_broad_2019	SAOS2_BONE	38.83189	82.19553
ccle_broad_2019	D283MED_CENTRAL_NERVOUS_SYSTEM	370.36035	35.0001
ccle_broad_2019	SCC9_UPPER_AERODIGESTIVE_TRACT	110.44479	24.66364
ccle_broad_2019	HCC1395_BREAST	41.11836	24.44753
ccle_broad_2019	NMCG1_CENTRAL_NERVOUS_SYSTEM	9.91383	39.67866
ccle_broad_2019	TEN_ENDOMETRIUM	49.1413	2.91277
ccle_broad_2019	HS604T_FIBROBLAST	NA	NA
ccle_broad_2019	TE9_OESOPHAGUS	55.20633	42.45037
ccle_broad_2019	KNS42_CENTRAL_NERVOUS_SYSTEM	3.01581	64.19244
ccle_broad_2019	KYSE520_OESOPHAGUS	18.58209	56.16789
ccle_broad_2019	KYSE270_OESOPHAGUS	56.96719	67.45514
ccle_broad_2019	JHUEM1_ENDOMETRIUM	30.50497	188.92024
ccle_broad_2019	YH13_CENTRAL_NERVOUS_SYSTEM	13.16065	30.445
ccle_broad_2019	IALM_LUNG	84.18555	163.93118
ccle_broad_2019	NCIH2052_PLEURA	64.31974	224.00342
ccle_broad_2019	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA
ccle_broad_2019	SKNFI_AUTONOMIC_GANGLIA	0.83074	116.37395
ccle_broad_2019	SKNAS_AUTONOMIC_GANGLIA	21.33048	44.44902
ccle_broad_2019	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	141.26941	37.35132
ccle_broad_2019	SNU398_LIVER	87.54609	24.87886
ccle_broad_2019	SNU423_LIVER	35.62349	124.33961
ccle_broad_2019	SCC4_UPPER_AERODIGESTIVE_TRACT	91.21469	76.46387
ccle_broad_2019	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	23.52015	46.66772
ccle_broad_2019	HCC1187_BREAST	47.94913	16.56855
ccle_broad_2019	SNU387_LIVER	21.07993	1.78361
ccle_broad_2019	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	106.55981	24.45215
ccle_broad_2019	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	69.2778	0.81565
ccle_broad_2019	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	87.52505	160.88779
ccle_broad_2019	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	95.54801	11.32533
ccle_broad_2019	C2BBE1_LARGE_INTESTINE	49.18346	20.17511
ccle_broad_2019	SKES1_BONE	74.21304	57.85418
ccle_broad_2019	EPLC272H_LUNG	34.77443	25.4604
ccle_broad_2019	BXPC3_PANCREAS	36.97895	19.87332
ccle_broad_2019	NCIH1355_LUNG	29.9739	179.88539
ccle_broad_2019	SNU5_STOMACH	86.04094	0.29151
ccle_broad_2019	SNU475_LIVER	8.79547	57.74866
ccle_broad_2019	HEC251_ENDOMETRIUM	39.09946	11.69174
ccle_broad_2019	HCC95_LUNG	96.24062	35.11203
ccle_broad_2019	253J_URINARY_TRACT	53.82978	16.20328
ccle_broad_2019	HCC1438_LUNG	22.177	70.60883
ccle_broad_2019	253JBV_URINARY_TRACT	114.59533	4.6304
ccle_broad_2019	RPMI7951_SKIN	12.44013	18.87381
ccle_broad_2019	SNU1066_UPPER_AERODIGESTIVE_TRACT	76.36997	59.47676
ccle_broad_2019	SNU1041_UPPER_AERODIGESTIVE_TRACT	79.30309	94.99377
ccle_broad_2019	HCC2108_LUNG	88.98167	57.98407
ccle_broad_2019	COLO783_SKIN	48.74323	0.29574
ccle_broad_2019	HCC1359_LUNG	77.9899	133.34392
ccle_broad_2019	BICR31_UPPER_AERODIGESTIVE_TRACT	118.03811	72.74209
